pid,gender,age,education,employment,income,car_own,home,dest1,purp1,mode1,dest2,purp2,mode2,dest3,purp3,mode3,dest4,purp4,mode4,dest5,purp5,mode5,min_time1,max_time1,min_time2,max_time2,min_time3,max_time3,min_time4,max_time4,min_time5,max_time5
490,0: feamale,27.0,4: master or phd,3: student,1: 750 or less,1: yes,4.0,3,1: work,1: car,4,2: return home,1: car,2.0,5: recreation,1: car,,,,,,,5.0,8.0,14.0,17.0,20.0,23.0,,,,
491,1: male,49.0,4: master or phd,4: active,,1: yes,26.0,22,1: work,1: car,2,1: work,1: car,2.0,5: recreation,7: walk,,,,,,,8.0,11.0,14.0,17.0,20.0,23.0,,,,
492,0: feamale,32.0,4: master or phd,4: active,2: 750-1500,0: no,2.0,3,1: work,7: walk,2,2: return home,7: walk,1.0,5: recreation,2: taxi,,,,,,,8.0,11.0,17.0,20.0,20.0,23.0,,,,
493,1: male,62.0,2: high school,,2: 750-1500,1: yes,35.0,2,1: work,1: car,35,2: return home,1: car,,,,,,,,,,8.0,11.0,17.0,20.0,,,,,,
494,0: feamale,43.0,4: master or phd,4: active,3: 1500-2500,1: yes,1.0,1,1: work,7: walk,1,1: work,7: walk,1.0,4: market,1: car,,,,,,,5.0,8.0,14.0,17.0,17.0,20.0,,,,
495,1: male,38.0,3: bachelor,4: active,2: 750-1500,1: yes,5.0,18,1: work,1: car,11,1: work,1: car,16.0,5: recreation,7: walk,,,,,,,8.0,11.0,17.0,20.0,17.0,20.0,,,,
496,0: feamale,27.0,3: bachelor,3: student,0: no income,1: yes,1.0,1,3: education,4: train,1,5: recreation,7: walk,4.0,5: recreation,1: car,,,,,,,11.0,14.0,14.0,17.0,20.0,23.0,,,,
497,0: feamale,55.0,3: bachelor,2: unemployed,1: 750 or less,0: no,1.0,1,5: recreation,3: bus,1,4: market,7: walk,,,,,,,,,,20.0,23.0,32.0,35.0,,,,,,
498,1: male,29.0,3: bachelor,4: active,2: 750-1500,1: yes,34.0,35,1: work,1: car,34,2: return home,1: car,,,,,,,,,,8.0,11.0,20.0,23.0,,,,,,
499,0: feamale,63.0,4: master or phd,4: active,2: 750-1500,1: yes,20.0,1,7: other,1: car,3,1: work,1: car,20.0,2: return home,1: car,,,,,,,8.0,11.0,11.0,14.0,17.0,20.0,,,,
500,0: feamale,60.0,4: master or phd,1: inactive,1: 750 or less,1: yes,15.0,34,7: other,1: car,2,4: market,1: car,15.0,2: return home,1: car,,,,,,,8.0,11.0,17.0,20.0,20.0,23.0,,,,
501,0: feamale,31.0,3: bachelor,4: active,2: 750-1500,0: no,2.0,2,5: recreation,7: walk,1,7: other,7: walk,1.0,1: work,6: bicycle,2.0,2: return home,6: bicycle,,,,8.0,11.0,11.0,14.0,17.0,20.0,20.0,23.0,,
502,0: feamale,56.0,3: bachelor,4: active,3: 1500-2500,1: yes,20.0,35,1: work,1: car,20,2: return home,1: car,,,,,,,,,,8.0,11.0,17.0,20.0,,,,,,
503,1: male,43.0,4: master or phd,4: active,2: 750-1500,1: yes,1.0,1,1: work,7: walk,13,7: other,1: car,,,,,,,,,,5.0,8.0,17.0,20.0,,,,,,
504,1: male,57.0,3: bachelor,4: active,2: 750-1500,1: yes,24.0,2,1: work,5: motorcycle,1,5: recreation,6: bicycle,,,,,,,,,,5.0,8.0,17.0,20.0,,,,,,
505,0: feamale,25.0,3: bachelor,4: active,2: 750-1500,1: yes,18.0,18,7: other,4: train,18,2: return home,4: train,,,,,,,,,,11.0,14.0,11.0,14.0,,,,,,
506,0: feamale,29.0,2: high school,3: student,0: no income,1: yes,2.0,30,3: education,4: train,2,2: return home,3: bus,,,,,,,,,,5.0,8.0,11.0,14.0,,,,,,
507,0: feamale,22.0,4: master or phd,4: active,1: 750 or less,0: no,15.0,22,1: work,3: bus,15,2: return home,3: bus,4.0,6: service,3: bus,,,,,,,14.0,17.0,20.0,23.0,35.0,38.0,,,,
508,1: male,31.0,4: master or phd,4: active,3: 1500-2500,1: yes,2.0,30,1: work,1: car,2,2: return home,1: car,12.0,7: other,1: car,,,,,,,8.0,11.0,17.0,20.0,35.0,38.0,,,,
509,0: feamale,39.0,4: master or phd,4: active,3: 1500-2500,1: yes,28.0,7,1: work,1: car,22,5: recreation,1: car,28.0,2: return home,1: car,,,,,,,8.0,11.0,17.0,20.0,20.0,23.0,,,,
510,1: male,39.0,4: master or phd,4: active,2: 750-1500,0: no,2.0,15,1: work,3: bus,1,4: market,4: train,2.0,2: return home,7: walk,,,,,,,8.0,11.0,14.0,17.0,17.0,20.0,,,,
511,0: feamale,47.0,3: bachelor,1: inactive,,0: no,28.0,28,5: recreation,2: taxi,28,4: market,7: walk,,,,,,,,,,14.0,17.0,20.0,23.0,,,,,,
